collaboration,description,difficulty,duration,free,id_course,n_reviews,rating,school,skills,title,url,language,time_range
Insight,"In this course, you’ll learn how to use Spark to work with big data and build machine learning models at scale, including how to wrangle and model massive datasets with PySpark, the Python library for interacting with Spark. In the first lesson, you will learn about big data and how Spark fits into the big data ecosystem. In lesson two, you will be practicing processing and cleaning datasets to get comfortable with Spark’s SQL and dataframe APIs. In the third lesson, you will debug and optimize your Spark code when running on a cluster. In lesson four, you will use Spark’s Machine Learning Library to train machine learning models at scale.",intermediate,10.0,1,ud2002,0,,School of Data Science,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning",Spark,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,English,hours
"Mercedes-Benz, Nvidia, Uber ATG, DiDi, McLaren","You'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. Next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. Then, you'll work with a team to program Carla, Udacity’s real self-driving car. ",advanced,240.0,0,nd013,1386,95.05050505050504,School of Autonomous Systems,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars",Become a Self-Driving Car Engineer,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,English,months
,"Learn to design and deploy infrastructure as code, build and monitor CI/CD pipelines for different deployment strategies, and deploy scalable microservices using Kubernetes. At the end of the program, you’ll combine your new skills by completing a capstone project.",intermediate,160.0,0,nd9991,500,91.44,School of Cloud Computing,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Become a Cloud Dev Ops Engineer,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,English,months
,"Inferential statistics allows us to draw conclusions from data that might not be immediately obvious. This course focuses on enhancing your ability to develop hypotheses and use common tests such as t-tests, ANOVA tests, and regression to validate your claims.",beginner,80.0,1,ud201,0,,School of Data Science,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",Intro to Inferential Statistics,https://www.udacity.com/course/intro-to-inferential-statistics--ud201,English,months
Appen,"You’ll learn how to evaluate the business value of an AI product. You’ll start by building familiarity and fluency with common AI concepts. You’ll then learn how to scope and build a data set, train a model, and evaluate its business impact. Finally, you’ll learn how to ensure a product is successful by focusing on scalability, potential biases, and compliance. 

Along the way, you’ll review case studies and examples to help you focus on how to define metrics to measure the business value for a proposed product. ",beginner,80.0,0,nd088,399,86.2155388471178,School of Artificial Intelligence,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",Become an AI Product Manager,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,English,months
,,beginner,5.0,1,ud244,0,,Career Advancement,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement",Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244,English,day
Georgia Institute of Technology,"You should take this course if you have an interest in machine learning and the desire to engage with it from a theoretical perspective. Through a combination of classic papers and more recent work, you will explore automated decision-making from a computer-science perspective. You will examine efficient algorithms, where they exist, for single-agent and multi-agent planning as well as approaches to learning near-optimal decisions from experience. At the end of the course, you will replicate a result from a published paper in reinforcement learning.",,160.0,1,ud600,0,,School of Artificial Intelligence,,Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600,English,months
,,intermediate,10.0,1,ud252,0,,Career Advancement,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement",Full-Stack Interview Prep,https://www.udacity.com/course/full-stack-interview-prep--ud252,English,week
,,intermediate,10.0,1,ud250,0,,Career Advancement,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement",Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250,English,week
,"In this course, you’ll learn exactly what to expect during a machine learning interview. You’ll cover all the common questions and technical strategies, and review a range of important topics, from machine learning algorithms to image categorization. You’ll also learn best practices for data structure questions and whiteboard problems, and at the end of the course, you’ll get unlimited access to mock interviews on Pramp. Complete this course and hone your interview skills today!",intermediate,10.0,1,ud1001,0,,Career Advancement,"Interview practice, Machine Learning, Career Advancement",Machine Learning Interview Preparation,https://www.udacity.com/course/machine-learning-interview-prep--ud1001,English,week
