difficulty,duration,n_reviews,rating,free,Label
1,2.156885438468934,0.9678714859437756,0.9407897963216976,0,1
0,0.7891277806681579,0.9839357429718876,0.970486579262154,0,5
0,0.7891277806681579,0.93574297188755,0.97342140567782,0,5
1,1.473006609568546,0.9919678714859436,0.962776369395998,0,1
1,1.473006609568546,0.9156626506024084,0.9385287605168702,0,1
0,1.473006609568546,0.9959839357429726,0.9671547402699008,0,5
1,1.473006609568546,0.9397590361445785,0.9377408363264428,0,1
2,0.1052489517677698,0.9437751004016064,0.9648981211791904,0,1
0,0.7891277806681579,0.9759036144578312,0.9814024772161796,0,5
1,0.7891277806681579,0.9477911646586356,0.9454181374348878,0,1
1,1.473006609568546,0.9879518072289156,0.95319419189307,0,1
1,-1.0915389988079094,0.0,0.0,1,6
0,0.7891277806681579,0.9558232931726908,0.9809806918581686,0,5
1,-1.0915389988079094,0.0,0.0,1,6
2,2.8407642673693223,0.9799196787148594,0.9817017050134716,0,1
1,1.473006609568546,0.9076305220883534,0.9444116457743628,0,1
0,0.1052489517677698,0.0,0.0,1,0
0,0.1052489517677698,0.895582329317269,0.8904523068015096,0,5
0,-1.177023852420458,0.0,0.0,1,0
1,1.473006609568546,0.0,0.0,1,3
1,-1.0915389988079094,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,1.473006609568546,0.9598393574297188,0.9618773530832012,0,1
1,0.4471883662179639,0.0,0.0,1,4
1,-0.5786298771326183,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
0,-1.0915389988079094,0.0,0.0,1,0
1,-1.0915389988079094,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
0,-1.0915389988079094,0.0,0.0,1,0
0,-1.0915389988079094,0.0,0.0,1,0
1,-0.9205692915828124,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
1,0.1052489517677698,0.0,0.0,1,4
0,-1.0915389988079094,0.0,0.0,1,0
1,1.473006609568546,0.0,0.0,1,3
1,0.1052489517677698,0.0,0.0,1,4
2,0.1052489517677698,0.0,0.0,1,2
1,1.473006609568546,0.0,0.0,1,3
2,-0.0657207554573272,0.0,0.0,1,2
1,0.1052489517677698,0.0,0.0,1,4
1,-0.5786298771326183,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,1,3
1,-0.9205692915828124,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,1,3
1,-0.0657207554573272,0.0,0.0,1,4
2,0.1052489517677698,0.0,0.0,1,2
1,1.473006609568546,0.0,0.0,1,3
1,-0.5786298771326183,0.0,0.0,1,6
0,0.1052489517677698,0.0,0.0,1,0
1,1.473006609568546,0.0,0.0,1,3
2,0.1052489517677698,0.0,0.0,1,2
0,-0.5786298771326183,0.0,0.0,1,0
2,1.473006609568546,0.0,0.0,1,3
1,0.1052489517677698,0.0,0.0,1,4
0,0.1052489517677698,0.0,0.0,1,0
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
0,-1.2454117353104968,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
0,-0.9205692915828124,0.0,0.0,1,0
0,-0.9205692915828124,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,1,3
0,-0.2366904626824242,0.0,0.0,1,0
0,-0.5786298771326183,0.0,0.0,1,0
1,0.1052489517677698,0.0,0.0,1,4
1,-0.5786298771326183,0.0,0.0,1,6
0,-0.7495995843577153,0.0,0.0,1,0
0,1.473006609568546,0.0,0.0,1,3
1,-1.0915389988079094,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
2,0.7891277806681579,0.0,0.0,1,2
2,-0.7495995843577153,0.0,0.0,1,2
1,-1.0915389988079094,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,1,3
1,-0.7495995843577153,0.0,0.0,1,6
2,0.1052489517677698,0.0,0.0,1,2
1,-1.0915389988079094,0.0,0.0,1,6
0,-0.5786298771326183,0.0,0.0,1,0
1,-1.0915389988079094,0.0,0.0,1,6
0,-0.5786298771326183,0.0,0.0,1,0
0,-0.2366904626824242,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
2,-0.4076601699075212,0.0,0.0,1,2
2,-1.0915389988079094,0.0,0.0,1,2
1,-1.0915389988079094,0.0,0.0,1,6
2,1.473006609568546,0.0,0.0,1,3
1,1.473006609568546,0.0,0.0,1,3
0,-0.5786298771326183,0.0,0.0,1,0
1,-1.0915389988079094,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
1,1.473006609568546,0.0,0.0,1,3
1,-0.5786298771326183,0.0,0.0,1,6
0,0.1052489517677698,0.0,0.0,1,0
1,-0.9205692915828124,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,1,3
0,-0.9205692915828124,0.0,0.0,1,0
1,0.1052489517677698,0.0,0.0,1,4
2,-0.5786298771326183,0.0,0.0,1,2
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
1,-1.0915389988079094,0.0,0.0,1,6
2,0.1052489517677698,0.0,0.0,1,2
1,0.1052489517677698,0.0,0.0,1,4
0,-0.6641147307451668,0.0,0.0,1,0
0,-1.177023852420458,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
1,-0.7495995843577153,0.0,0.0,1,6
2,-1.0915389988079094,0.0,0.0,1,2
1,-0.9205692915828124,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
0,1.473006609568546,0.0,0.0,1,3
1,-0.4076601699075212,0.0,0.0,1,6
1,-0.2366904626824242,0.0,0.0,1,4
0,-0.9205692915828124,0.0,0.0,1,0
0,-0.4076601699075212,0.0,0.0,1,0
1,0.1052489517677698,0.0,0.0,1,4
0,-0.6641147307451668,0.0,0.0,1,0
0,0.1052489517677698,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
0,-0.9205692915828124,0.0,0.0,1,0
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
0,-0.7495995843577153,0.0,0.0,1,0
0,-0.9205692915828124,0.0,0.0,1,0
0,-0.9205692915828124,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
1,-1.0915389988079094,0.0,0.0,1,6
1,-0.9205692915828124,0.0,0.0,1,6
2,0.7891277806681579,0.0,0.0,1,2
1,0.1052489517677698,0.0,0.0,1,4
1,1.473006609568546,0.0,0.0,1,3
1,-1.177023852420458,0.0,0.0,1,6
1,0.7891277806681579,0.0,0.0,1,3
1,1.473006609568546,0.0,0.0,1,3
1,-1.0915389988079094,0.0,0.0,1,6
2,0.1052489517677698,0.0,0.0,1,2
0,-0.7495995843577153,0.0,0.0,1,0
1,0.7891277806681579,0.0,0.0,1,3
0,-1.0060541451953608,0.0,0.0,1,0
1,-0.9205692915828124,0.0,0.0,1,6
0,-0.2366904626824242,0.0,0.0,1,0
1,-0.7495995843577153,0.0,0.0,1,6
2,-1.0915389988079094,0.0,0.0,1,2
1,0.1052489517677698,0.0,0.0,1,4
1,1.473006609568546,0.0,0.0,1,3
1,-0.5786298771326183,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
2,-0.9205692915828124,0.0,0.0,1,2
0,0.1052489517677698,0.0,0.0,1,0
2,-0.5786298771326183,0.0,0.0,1,2
0,-0.4076601699075212,0.0,0.0,1,0
1,0.1052489517677698,0.0,0.0,1,4
1,-0.9205692915828124,0.0,0.0,1,6
2,-0.2366904626824242,0.0,0.0,1,2
1,-0.9205692915828124,0.0,0.0,1,6
1,-0.5786298771326183,0.0,0.0,1,6
1,0.1052489517677698,0.0,0.0,1,4
0,-1.177023852420458,0.0,0.0,1,0
2,-0.4076601699075212,0.0,0.0,1,2
1,0.1052489517677698,0.0,0.0,1,4
0,-0.9205692915828124,0.0,0.0,1,0
2,-0.7495995843577153,0.0,0.0,1,2
1,-0.9205692915828124,0.0,0.0,1,6
2,-0.5786298771326183,0.0,0.0,1,2
1,-0.9205692915828124,0.0,0.0,1,6
2,-0.7495995843577153,0.0,0.0,1,2
0,-0.5786298771326183,0.0,0.0,1,0
2,0.7891277806681579,0.0,0.0,1,2
2,-0.2366904626824242,0.0,0.0,1,2
1,-1.0915389988079094,0.0,0.0,1,6
2,-0.2366904626824242,0.0,0.0,1,2
0,-1.177023852420458,0.0,0.0,1,0
0,-1.0915389988079094,0.0,0.0,1,0
2,0.1052489517677698,0.0,0.0,1,2
1,-0.9205692915828124,0.0,0.0,1,6
1,-0.7495995843577153,0.0,0.0,1,6
1,1.473006609568546,0.0,0.0,0,3
0,0.1052489517677698,0.0,0.0,1,0
1,0.7891277806681579,0.8313253012048192,0.9515139391957966,0,1
0,1.473006609568546,0.8875502008032146,0.9702096982471132,0,5
2,1.473006609568546,0.0,0.0,0,3
0,-0.5786298771326183,0.0,0.0,1,0
1,0.7891277806681579,0.8192771084337349,0.9904489857987634,0,1
0,0.7891277806681579,0.0,0.0,0,5
0,1.473006609568546,0.0,0.0,0,3
1,1.473006609568546,0.8152610441767068,0.9767537018851208,0,1
1,0.1052489517677698,0.0,0.0,0,4
1,-0.5786298771326183,0.0,0.0,0,4
2,0.1052489517677698,0.8393574297188755,0.8606842791032033,0,1
2,0.7891277806681579,0.8634538152610441,0.9703082767574008,0,1
2,1.473006609568546,0.859437751004016,0.9821731754227708,0,1
0,1.473006609568546,0.8995983935742998,0.9605480720544683,0,5
0,0.7891277806681579,0.8032128514056234,0.9754421829836304,0,5
1,1.473006609568546,0.927710843373494,0.9584444901830104,0,1
1,0.7891277806681579,0.8072289156626506,0.8985543873837444,0,1
1,0.1052489517677698,0.0,0.0,0,4
1,0.1052489517677698,0.0,0.0,0,4
1,0.7891277806681579,0.8152610441767068,0.9118335162613366,0,1
1,0.7891277806681579,0.0,0.0,0,3
2,1.473006609568546,0.9036144578313252,0.9422056957276956,0,1
0,1.473006609568546,0.8433734939759037,0.9625611937725616,0,5
2,2.8407642673693223,0.8554216867469879,0.9469231395440392,0,1
1,1.473006609568546,0.8473895582329316,0.8765738350251085,0,1
2,0.7891277806681579,0.8714859437751004,0.937234551456382,0,1
0,0.7891277806681579,0.8755020080321284,0.9663137133567782,0,5
1,2.156885438468934,0.8514056224899603,0.9188913808652344,0,1
0,1.473006609568546,0.0,0.0,0,3
2,1.473006609568546,0.8273092369477911,0.9465635456335006,0,1
0,1.473006609568546,1.0,1.0,0,5
2,0.7891277806681579,0.8915662650602408,0.9369923698278172,0,1
1,1.473006609568546,0.9317269076305222,0.9625156443779748,0,1
1,0.7891277806681579,0.9718875502008032,0.9575868797281134,0,1
2,0.7891277806681579,0.8353413654618473,0.9644960444596512,0,1
1,0.7891277806681579,0.867469879518073,0.9656255430131362,0,1
2,0.7891277806681579,0.8835341365461846,0.9668839664230556,0,1
1,3.52464309626971,0.9518072289156626,0.953975704493056,0,1
1,1.473006609568546,0.9196787148594376,0.9118114944887368,0,1
2,0.7891277806681579,0.9236947791164686,0.9618146818978296,0,1
1,0.7891277806681579,0.0,0.0,0,3
1,0.7891277806681579,0.8795180722891566,0.9796701057581724,0,1
