Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,difficulty,enrolled,institution,instructor,rating,total_hours,subcategory_Data Analysis,subcategory_Support and Operations,subcategory_Physics and Astronomy,subcategory_Software Development,subcategory_Math and Logic,subcategory_Finance,subcategory_Design and Product,subcategory_Other Languages,subcategory_Learning English,subcategory_Machine Learning,subcategory_Data Management,subcategory_Entrepreneurship,subcategory_Health Informatics,subcategory_Business Strategy,subcategory_Music and Art,subcategory_Probability and Statistics,subcategory_Leadership and Management,subcategory_Cloud Computing,subcategory_Business Essentials,subcategory_Security,subcategory_Patient Care,subcategory_Mobile and Web Development,subcategory_Public Health,subcategory_Basic Science,subcategory_Animal Health,subcategory_Networking,subcategory_Algorithms,subcategory_Governance and Society,subcategory_Chemistry,subcategory_Education,subcategory_Law,subcategory_Marketing,subcategory_Psychology,subcategory_Mechanical Engineering,subcategory_Electrical Engineering,subcategory_Environmental Science and Sustainability,subcategory_Computer Security and Networks,subcategory_Research Methods,subcategory_Personal Development,subcategory_History,subcategory_Biology,subcategory_0,subcategory_Healthcare Management,subcategory_Economics,subcategory_Nutrition,subcategory_Philosophy,subcategory_Research,section_professional-certificates,section_specializations,section_learn,section_projects,section_browse,section_professional-certificate,language_Spanish,language_English,"language_English, Russian",language_Russian,language_Chinese (Simplified),language_French,"language_Portuguese (Brazilian), English",language_Portuguese (Brazilian),language_Split-screen video,language_German,language_Japanese,"language_Chinese (Simplified), English",language_,language_Chinese (Traditional),language_Arabic,language_Ukrainian,language_Indonesian,language_Turkish,language_Korean,language_Italian,language_Hebrew,language_Hungarian,language_Swedish,Labels
10,10,10,1,0.9408705765997842,0.0137656775772407,0.0489446313857448,0.1146819671092097,3.007463456560118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
11,11,11,0,-1.4408142024791373,0.022636892015907,0.0489446313857448,-2.117337757324412,1.4937530136383934,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
12,12,12,1,0.5253131264220213,0.0137656775772407,0.0489446313857448,-0.6151127837430667,2.067433681428399,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
13,13,13,1,0.2614094527075269,0.0137656775772407,0.0010706638115631,-1.7477416980089897,2.3105678865787755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
14,14,14,0,-1.4408142024791373,0.0220250841235851,0.0015295197308045,0.1146819671092097,0.1194740546983362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
15,15,15,0,-0.0479791017070435,0.0027531355154481,0.0003059039461609,-2.117337757324412,-0.1867330601230942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
16,16,16,2,0.7459558856735845,0.0038237993270113,0.0001529519730804,-1.7477416980089897,1.1459019186145527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
17,17,17,1,0.632664533589284,0.0056592230039767,0.0007647598654022,-0.6151127837430667,0.2444116130583972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
18,18,18,0,0.06860807408517,0.0102477821963903,0.0489446313857448,0.1146819671092097,2.2350505640568783,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
19,19,19,1,-1.4408142024791373,0.0191189966350565,0.0489446313857448,0.1146819671092097,2.683206965370628,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
20,20,20,0,-1.4408142024791373,0.004741511165494,0.0489446313857448,0.9405777655112988,0.919882691123664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
21,21,21,0,-1.4408142024791373,0.0081064545732639,0.0489446313857448,1.8560215347663809,1.566080088250699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
22,22,22,0,-1.4408142024791373,0.022636892015907,0.0007647598654022,0.1146819671092097,3.5140187648459045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
23,23,23,0,-1.4408142024791373,0.022636892015907,0.0489446313857448,0.1146819671092097,2.067433681428399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
24,24,24,0,0.2800593815968955,0.0052003670847353,0.0489446313857448,-1.7477416980089897,1.3333690654927948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
25,25,25,0,1.3295804309285093,0.0035178953808504,0.0489446313857448,0.9405777655112988,1.8711925084434728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
26,26,26,0,0.1014648346867925,0.0018354236769654,0.1271030896298562,0.1146819671092097,-0.6244472349402147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
27,27,27,0,0.592665015764952,0.0116243499541144,0.0009177118384827,-0.6151127837430667,-0.022402628750778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,1,0.5048040358973849,0.0021413276231263,0.1271030896298562,-1.240093438922022,0.0509431135966947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
