collaboration,description,difficulty,duration_hours,duration_weeks,free,id_course,n_reviews,new,rating,school,skills,title,url
,"The goal of the Intermediate JavaScript Nanodegree program is to prepare students for roles in web development, server-side application development, and desktop development that require a more advanced set of JavaScript skills. This program will also prepare students with the skills required to use JavaScript frameworks like React, Angular, and Vue. ",intermediate,At 10 hours / week,3 months,[False],nd032,,[True],,School of Programming & Development,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",Learn Intermediate JavaScript,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032
Mode,"Learn the programming fundamentals required for a career in data science. By the end of the program, you will be able to use Python, SQL, Command Line, and Git.",beginner,At 10 hrs/week ,3 Months,[False],nd104,741 Reviews,[True],width: 94.9798%;,School of Data Science,"Python, Numpy & Pandas, SQL, Git & GitHub",Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104
,"Take your first step toward a career in cybersecurity and learn the skills required to become a security professional with the Introduction to Cybersecurity Nanodegree program. In this program, you will learn how to evaluate, maintain, and monitor the security of computer systems. You’ll also learn how to assess threats, respond to incidents, and implement security controls to reduce risk and meet security compliance goals.",beginner,At 10 hours/week,4 months,[False],nd545,,[True],,School of Programming & Development,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Introduction to Cybersecurity,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545
Kaggle,"Advance your programming skills and refine your ability to work with messy, complex datasets. You’ll learn to manipulate and prepare data for analysis, and create visualizations for data exploration. Finally, you’ll learn to use your data skills to tell a story with data.",intermediate,At 10 hrs/week,4 Months,[False],nd002,2772 Reviews,[False],width: 92.215%;,School of Data Science,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics",Become a Data Analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002
Google,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud899,,[False],,School of Programming & Development,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",Offline Web Applications,https://www.udacity.com/course/offline-web-applications--ud899
,"Build sustainable profit streams from products. Learn how to identify target markets, buyer personas, and outreach channels to optimize the path to purchase. Begin by synthesizing market and customer data to formulate key buyer personas and the relevant outreach channel mix build. Then, leverage buyer psychology to develop a path to purchase that is optimized for paid conversion. Finally, apply premium value and pricing tactics to create a monetization model that increases the customer lifetime value : customer acquisition cost (LTV : CAC) ratio. ",intermediate,At 10 hours / week,1 Month,[False],nd037-3,,[True],,School of Business,"Product Management, Monetization Models, Pricing Strategy, Buyer Personas, Lifetime Value, Customer Acquisition Cost, Pricing Metrics, Growth Strategy",Monetization Strategy Course,https://www.udacity.com/course/monetization-strategy--nd037-3
Facebook,,intermediate,,"Approx., ,2, ,months, ",[True],ud651,,[False],,School of Artificial Intelligence,"R, Exploratory Data Analysis, Data Visualization",Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud711,,[False],,School of Programming & Development,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",Object-Oriented JavaScript,https://www.udacity.com/course/object-oriented-javascript--ud711
Georgia Institute of Technology,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud098,,[False],,School of Programming & Development,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking",GT - Refresher - Advanced OS,https://www.udacity.com/course/gt-refresher-advanced-os--ud098
,,intermediate,,"Approx., ,3, ,weeks, ",[True],ud388,,[False],,School of Programming & Development,"Flask, REST APIs, Python",Designing RESTful APIs,https://www.udacity.com/course/designing-restful-apis--ud388
,"Leverage market data to amplify product development. Learn how to apply data science techniques, data engineering processes, and market experimentation tests to deliver customized product experiences. Begin by leveraging the power of SQL and Tableau to inform product strategy. Then, develop data pipelines and warehousing strategies that prepare data collected from a product for robust analysis. Finally, learn techniques for evaluating the data from live products, including how to design and execute various A/B and multivariate tests to shape the next iteration of a product.",intermediate,At 10 hours / week ,3 Months,[False],nd030,57 Reviews,[True],width: 88.0702%;,School of Business,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Become a Data Product Manager,https://www.udacity.com/course/data-product-manager-nanodegree--nd030
,,intermediate,,"Approx., ,4, ,weeks, ",[True],ud283,,[False],,School of Programming & Development,"Object Oriented Programming, Java, User Interaction",Object Oriented Programming in Java,https://www.udacity.com/course/object-oriented-programming-in-java--ud283
Google,,beginner,,"Approx., ,2, ,weeks, ",[True],ud610,,[False],,School of Programming & Development,"Localization, Google Translator Toolkit, Localization at Google",Localization Essentials,https://www.udacity.com/course/localization-essentials--ud610
Georgia Institute of Technology,,intermediate,,"Approx., ,0, , ",[True],ud168,,[False],,School of Programming & Development,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",Compilers: Theory and Practice,https://www.udacity.com/course/compilers-theory-and-practice--ud168
