,difficulty,enrolled,institution,instructor,n_ratings,rating,views,total_hours,category_Data Science,category_Information Technology,category_Physical Science and Engineering,category_Computer Science,category_Math and Logic,category_Business,category_Language Learning,category_Health,category_Arts and Humanities,category_Social Sciences,category_Personal Development,subcategory_Data Analysis,subcategory_Support and Operations,subcategory_Physics and Astronomy,subcategory_Software Development,subcategory_Math and Logic,subcategory_Finance,subcategory_Design and Product,subcategory_Other Languages,subcategory_Learning English,subcategory_Machine Learning,subcategory_Data Management,subcategory_Entrepreneurship,subcategory_Health Informatics,subcategory_Business Strategy,subcategory_Music and Art,subcategory_Probability and Statistics,subcategory_Leadership and Management,subcategory_Cloud Computing,subcategory_Business Essentials,subcategory_Security,subcategory_Patient Care,subcategory_Mobile and Web Development,subcategory_Public Health,subcategory_Basic Science,subcategory_Animal Health,subcategory_Networking,subcategory_Algorithms,subcategory_Governance and Society,subcategory_Chemistry,subcategory_Education,subcategory_Law,subcategory_Marketing,subcategory_Psychology,subcategory_Mechanical Engineering,subcategory_Electrical Engineering,subcategory_Environmental Science and Sustainability,subcategory_Computer Security and Networks,subcategory_Research Methods,subcategory_Personal Development,subcategory_History,subcategory_Biology,subcategory_Healthcare Management,subcategory_Economics,subcategory_Nutrition,subcategory_Philosophy,subcategory_Research,section_professional-certificates,section_specializations,section_learn,section_projects,language_Spanish,language_English,"language_English, Russian",language_Russian,language_Chinese (Simplified),language_French,"language_Portuguese (Brazilian), English",language_Portuguese (Brazilian),language_Split-screen video,language_German,language_Japanese,"language_Chinese (Simplified), English",language_Chinese (Traditional),language_Arabic,language_Ukrainian,language_Indonesian,language_Turkish,language_Korean,language_Italian,language_Hebrew,language_Hungarian,language_Swedish
27,0,0.5917578942761004,0.011635027556644213,0.0009185548071034905,0.4929250210385838,3.0,0.45343294927259253,12.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0.5037944890072119,0.0021432945499081446,0.12721984078383344,0.1620123156237351,2.0,0.26045957654837315,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,-1.4420380198191847,0.03903857930189834,0.0385793018983466,-0.675636664463694,4.0,-1.9797510930844604,16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,-1.4420380198191847,0.18095529699938764,0.0052051439069197795,-1.5398302151152707,4.0,,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,-1.4420380198191847,0.18095529699938764,0.001224739742804654,-1.5398302151152707,4.0,,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,-1.4420380198191847,0.18095529699938764,0.005511328842620943,-1.5398302151152707,4.0,,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1.0684234108709836,0.004745866503368034,0.001990202082057563,2.228181302122453,4.0,0.806986791858234,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,-1.4420380198191847,0.0226576852418861,0.04898958971218616,-0.8172374817812619,0.0,,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.5460819508187699,0.008113900796080833,0.04898958971218616,1.5705986518555908,4.0,0.3505015419146399,80.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.9603924113825022,0.003674219228413962,0.04898958971218616,1.5061018942724862,1.0,0.502095730697407,72.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
