title,description
high performance computing,"the goal of this course is to give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms. this course focuses on theoretical underpinnings. to give a practical feeling for how algorithms map to and behave on real systems, we will supplement algorithmic theory with hands-on exercises on modern hpc systems, such as cilk plus or openmp on shared memory nodes, cuda for graphics co-processors (gpus), and mpi and pgas models for distributed memory systems.,this course is a graduate-level introduction to scalable parallel algorithms. ""scale"" really refers to two things: efficient as the problem size grows, and efficient as the system size (measured in numbers of cores or compute nodes) grows. to really scale your algorithm in both of these senses, you need to be smart about reducing asymptotic complexity the way you’ve done for sequential algorithms since cs 101; but you also need to think about reducing communication and data movement. this course is about the basic algorithmic techniques you’ll need to do so.,the techniques you’ll encounter covers the main algorithm design and analysis ideas for three major classes of machines: for multicore and many core shared memory machines, via the work-span model; for distributed memory machines like clusters and supercomputers, via network models; and for sequential or parallel machines with deep memory hierarchies (e.g., caches). you will see these techniques applied to fundamental problems, like sorting, search on trees and graphs, and linear algebra, among others. the practical aspect of this course is implementing the algorithms and techniques you’ll learn to run on real parallel and distributed systems, so you can check whether what appears to work well in theory also translates into practice. (programming models you’ll use include cilk plus, openmp, and mpi, and possibly others.)"
embedded systems,"in the 21st century, embedded systems are the systems of future with cellular phones, smart-phones, tablets becoming the dominant platforms for computing and communication. the ubiquity of information and the associated need for the computation that accompanies it is driving this revolution only to be accelerated by the new paradigms such as the internet-of-things (iot). these platforms are clearly very different in terms of their processing requirements which are very unique: real-time needs, high performance but at low energy, compact-code and data segments, and most importantly ever changing software stack. such unique requirements have led to a complete redesign and reinvention of the both hardware and the software stack from ground up, for example, brand new processors such as arm, dsps, network processors were invented all the way up to new virtual machines such as dalvik, new operating systems such as android and new programming models and compiler optimizations."
wechat mini program development,"wechat mini programs are “sub-applications” within the wechat ecosystem; you can find and use any mini program instantly without needing to install anything from the app store.  with more than one billion active daily users globally, it’s almost impossible to overestimate wechat’s importance, and the potential reach of a mini program of your design!,this program is built in collaboration with tencent wechat and leading industry professionals who have developed a world-class curriculum. in this course, students will learn about data queries, parsing, mini program interfaces, and then go on to complete their very first mini program all within 4 weeks."
the mvc pattern in ruby,"learn how to organize the code for your web apps, and why it's important. you’ll be using the mvc design pattern in the web application micro-framework, sinatra."
asynchronous javascript requests,"this course covers everything a developer needs to know to asynchronously send and receive data in their web applications. you'll dive into how asynchronous requests work by using the xhr object to create and send asynchronous requests for image and news article data. then, you'll see how you can perform async requests more easily using third-party libraries and apis like jquery's ajax and the fetch api."
advanced android with kotlin,"go beyond the basics of building an android app with ""advanced android with kotlin"". this course teaches you how to add a range of advanced features to your app, starting with best practices for using android's notification system. you'll learn how to create and clip custom views, draw directly to a canvas, and add animations to your apps. you'll also add maps to your apps and learn to style them. testing an app is as important as building it, so you'll learn to test your app to catch and fix bugs so that users never see them. finally, you'll learn how to let users login to your app with their existing accounts—you'll be surprised how little code it takes."
intro to algorithms," this class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected. "
intro to relational databases,"this course is a quick, fun introduction to using a relational database from your code, using examples in python. you'll learn the basics of sql (the structured query language) and database design, as well as the python api for connecting python code to a database. you'll also learn a bit about protecting your database-backed web apps from common security problems.,after taking this course, you'll be able to write code using a database as a backend to store application data reliably and safely."
intro to physics,"study physics abroad in europe -- virtually! learn the basics of physics on location in italy, the netherlands and the uk, by answering some of the discipline's major questions from over the last 2000 years. "
intro to ajax,"in this course you will learn how to make asynchronous requests with javascript (using jquery’s ajax functionality), and gain a better understanding of what’s actually happening when you do so. you will also learn how to use data apis so you can take advantage of freely accessible data in your applications, including photo results, news articles and up-to-date data about the world around us.,as part of the course, you’ll be building a web app that will help people learn about a place where they want to move! your app will query the google streetview, wikipedia and new york times apis!,this course is also a part of our , nanodegree."
database systems concepts & design,this course presents an example of applying a database application development methodology to a major real-world project.
networking for web developers,"how does the web work? under the hood of http there's a whole stack of networking protocols.,explore the underpinnings of the net with tools like ,, ,, and ,."
programming languages,"this class will give you an introduction to the fundamentals of programming languages. key concepts include how to specify and process valid strings, sentences and program structures. "
es6 - javascript improved,"ecmascript 6, or es6, has brought about a ton of changes to the javascript programming language. in this course, you'll explore those changes to learn about the latest features and improvements to the language including new keywords, arrow functions, the class syntax, promises, and so much more. discover how much cleaner and more concise your javascript code can be!"
deploying a hadoop cluster,"learn how to tackle big data problems with your own hadoop clusters! in this course, you’ll deploy hadoop clusters in the cloud and use them to gain insights from large datasets."
mobile design and usability for ios,"featuring facebook's experts in user research and product design, this course walks you through the steps to design a new mobile product that puts users first. you'll learn how to use data collected from users to guide prototyping, and conduct user testing with a production app to guide a future redesign. "
firebase in a weekend: android,"in this course, you’ll learn how to use firebase. firebase is app development platform that provides developers a variety of tools and a scalable infrastructure to build high quality apps. ,we’ll begin by showing you how easy it is to read and write almost any data to firebase. after that, we’ll teach you how to allow users to login, have data associated with them and send them notifications. you’ll learn how to use firebase’s security and rules language to secure and add permissions to your data.,firebase remote config gives you the ability to tune and customize your app without having to publish a new version. finally we’ll give you a brief overview of firebase analytics so you can collect data from the start. ,got extra time this weekend? as a bonus, you will write your own cloud function for firebase that makes chat more fun by adding emojis to friendlychat conversations. cloud functions for firebase integrates the firebase platform by letting you write code that responds to events and invokes functionality exposed by other firebase features.,by the end of this course you will have an android application that can store and share data between different users in real time as well as authenticate and authorize those users."
server-side swift,"in this course, built in collaboration with ibm and hashicorp, you'll learn how to build server-side swift applications that run on linux and in the cloud, including how to use swift to build a microservices backend. this course covers the best practices for constructing and deploying server-side swift using industry-proven tools like docker and terraform. ,whether you're an apple developer, a full stack developer, or just getting started with app development, this course offers an opportunity to master server-side swift, while gaining vital transferable skills that can be used with any server-side stack. enroll in the course today, and you'll enjoy a feature-packed learning experience that is fun, informative, and loaded with expert input from leading companies in industry."
software debugging,"in this class you will learn how to debug programs systematically, how to automate the debugging process and build several automated debugging tools in python."
core ml: machine learning for ios,"in this short course, we'll show you how to incorporate apple's core ml framework into your app. you'll also get a quick overview of machine learning fundamentals, and exposure to real-world examples of companies using machine learning technology in their ios apps."
design of computer programs,"understanding how to approach programming problems and devise a solution is an essential skill for any python developer. in this course, you’ll learn new concepts, patterns, and methods that will expand your coding abilities from programming expert, peter norvig."
intro to theoretical computer science,this class teaches you about basic concepts in theoretical computer science -- such as np-completeness -- and what they imply for solving tough algorithmic problems.
swift for developers,"this course offers a quick practical introduction to swift basics, including types, variables, constants, and functions. it combines syntax exercises with hands-on ios development in xcode. by the end of the course students will build their first ios app, an app that creates and displays song lyrics customized to user input."
shell workshop,"a quick, one-lesson introduction to the unix-style command-line environment.,this course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs."
full stack foundations,"in this course you will learn the fundamentals of back-end web development! you will create your own web application that queries a database for items on restaurant menus and then dynamically generates complete menus in the form of web pages and api endpoints.,you’ll start by learning how to interact with a database from a web application using an object-relational mapping (orm) layer. from there, you’ll learn how get and post requests translate to crud operations. you’ll then explore the flask framework and the various ways in which it can speed up the development of your applications. finally, you’ll develop your very own web application from the ground up using the iterative development process."
data wrangling with mongodb,"in this course, we will explore how to wrangle data from diverse sources and shape it to enable data-driven applications. some data scientists spend the bulk of their time doing this!,students will learn how to gather and extract data from widely used data formats. they will learn how to assess the quality of data and explore best practices for data cleaning. we will also introduce students to mongodb, covering the essentials of storing data and the mongodb query language together with exploratory analysis using the mongodb aggregation framework.,this is a great course for those interested in entry-level data science positions as well as current business/data analysts looking to add big data to their repertoire, and managers working with data professionals or looking to leverage big data.,this course is also a part of our , nanodegree."
autolayout,"with this course, you will learn about autolayout and how to use stack views and constraints to create pixel-perfect uis.,also, you will take a deep dive and learn about some of the most commonly misunderstood properties affecting layout like distribution, alignment, content hugging, and compression resistance.,then, you will put all of this knowledge to use and start creating functional interfaces with multiple stack views and ui elements. in fact, you will recreate an interface from a very well known app. and, by the end of this course, you will be ready to create beautiful interfaces from scratch."
high performance computer architecture,"the course begins with a lesson on performance measurement, which leads to a discussion on the necessity of performance improvement.,pipelining, the first level of performance refinement, is reviewed. the weaknesses of pipelining will be exposed and explored, and various solutions to these issues will be studied. the student will learn hardware, software, and compiler based solutions to these issues."
kotlin bootcamp for programmers,"learn the essentials of the kotlin programming language from kotlin experts at google. kotlin is a modern and concise jvm language that supports functional programming paradigms. whether you’re a java developer or a programmer in another object-oriented language, this course will teach you the essential language features that has made kotlin so popular with developers. by the end of this course, you’ll gain the skills you need to build your next project in kotlin. "
software testing,"when writing software, destruction can be just as valuable as creation. learn how to catch bugs and break software as you discover different testing methods that will help you build better software."
statistics,"note: this course has been divided into two courses: , and , statistics. if you are new to statistics, we recommend taking these courses instead.,we live in a time of unprecedented access to information...data.  whether researching the best school, job, or relationship, the internet has thrown open the doors to vast pools of data.  statistics are simply objective and systematic methods for describing and interpreting information so that you may make the most informed decisions about life."
objective-c for swift developers,"this course is designed to teach students how to understand and identify the differences between the objective-c and swift programming languages, and especially, how to rewrite from the former to the latter. understanding communications between the two languages—called ""interoperability""—is becoming more and more important for developers, particularly as we prepare for the arrival of swift 3.0. in the course, students will write classes and add functionality to classes by writing and calling methods. after learning some basic objective-c syntax, students will examine and break down an app written in objective-c and rewrite it in swift. the course will conclude with a review of and practice with the most common challenges for interoperability between objective-c and swift."
developing android apps," build a cloud-connected android app, and learn the tools, principles, and best practices of mobile and android development that you'll apply to your own projects. "
introduction to virtual reality,"this course is designed for students who are new to virtual reality and want to learn about the principles of vr technology including optics, displays, stereopsis, tracking, and major hardware platforms. you don’t need any programming experience to get started. ,by the end of this course, you will have created and deployed a vr application. you will understand the physical principles of vr and you will use that knowledge to create a comfortable, high-performance vr application using unity."
introduction to python programming," in this course, you'll learn the fundamentals of the python programming language, along with programming best practices. you’ll learn to represent and store data using python data types and variables, and use conditionals and loops to control the flow of your programs. you’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. you’ll define and document your own custom functions, write scripts, and handle errors. lastly, you’ll learn to find and use modules in the python standard library and other third-party libraries. "
interactive 3d graphics,"this class will teach you about the basic principles of 3d computer graphics: meshes, transforms, cameras, materials, lighting, and animation."
swift for beginners,"in this course, you’ll begin learning swift, apple's programming language for building ios applications. you'll start with fundamentals and work your way towards understanding all the core principles necessary to get started creating your first app. at the end of the course, you'll complete a problem set of exercises designed to challenge your understanding of swift and give you the opportunity to apply what you've learned."
intro to statistics," get ready to analyze, visualize, and interpret data! thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged. "
designing restful apis,"api (application programming interface) endpoints are the connections between your application and the rest of the developer community.  in this course you will learn about writing secure, developer-friendly apis that will make your back-end application thrive and keep your users happy.  ,at the end of this course you will create the back-end for a social application called ""meet n' eat"" that matches together users based on their location and food interests."
intro to javascript," learn the fundamentals of javascript, the most popular programming language in web development. "
object oriented programming in java,"this course will introduce you to some of the most powerful programming concepts in java, including: objects, inheritance and collections. you will learn how to use these object-oriented programming concepts in code examples, discover how these concepts are used in applications that require user input, and understand the benefits of mastering these concepts in java.,by the end of the course, you will create your own game, understand how and when to apply foundational java concepts, and will gain a deeper understanding of the tools and logic that professional java developers use everyday. you will also have the java programming foundations you need to take our ,."
gt - refresher - advanced os,"the course covers the basics of memory systems, file systems, multithreaded programming, and networking.  together these form a strong foundation from which the student can understand cutting edge research in the areas of virtualization, distributed systems, and internet-scale services in the gt , sequence."
grand central dispatch (gcd),"many times your apps need to run lengthy operations in the background, like downloading data, but you don't want these operations to interfere with your ui.,apple's gcd (long form: grand central dispatch) framework allows you to create asynchronous apps for ios, ensuring smooth a smooth user experience in situations like the one mentioned above."
how to make a platformer using libgdx,"'2d game development with libgdx' explored the basics of the libgdx game framework, from simple drawing to user input. ,this course will use those skills to create a much more sophisticated platforming game called gigagal. in creating gigagal, you'll learn about sprite drawing, keeping track of complex game state, controlling interactions between game entities, and also how to load and manage level data."
intro to html and css," in this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using developer tools. "
html5 canvas,"canvas is an html5 element which gives you drawable surface inside your web pages you can control with javascript. powerful enough to use for compositing images and even creating games.,in this course, through several sample projects, you’ll learn how to use the canvas; how to make compositions using shapes, images, and text; how to create effects and filters on images and how to create animations."
localization essentials,"localization is the art of adapting a product linguistically and culturally for international users. although the industry has been around since the 1980s, it has become increasingly important over the past few years as more and more users are getting online and the vast majority of these users are non-english speakers.,localization essentials will take you through the linguistic, cultural and technical aspects of launching a product globally. whether you’re a developer, product owner, localization professional or translation student, this is where you’ll learn the basics of localization – directly from the experts at google., already thousands of students around the world have taken the course since its launch and the following universities are using it in their curricula to teach students about localization: ,, ,, ,, ,.,join us, and get to know the world of localization inside out."
object-oriented javascript,"this course is designed to teach web developers how to utilize the various object-oriented programming features within javascript. object-oriented programming allows developers to build applications with reusable and maintainable blocks of code, which leads to efficiency and simplified software design.,with object-oriented javascript, you'll be able to build classes to construct objects that encapsulate both data and functionality. you'll also learn how to leverage prototypal inheritance to maintain dry code, allowing you to pass behaviors down to objects. you'll also learn how to keep data safe and secure by creating private state with closures and immediately-invoked function expressions."
javascript testing,"in this course you'll learn how to write javascript applications with confidence, using the red-green-refactor workflow. you'll write comprehensive suites of tests that validate your application is functioning as intended at all times.,you'll start by exploring how other industries use a variety of tests and the value it provides. you'll then start writing your very own tests, using the jasmine testing framework. finally, you'll start developing your very own address book application using the red-green-refactor workflow and explore a variety of scenarios including testing asynchronous functions."
compilers: theory and practice,the objective of this course is to learn the theory and practice behind building automatic translators (compilers) for higher level programming languages and to engineer and build key phases of a compiler in java or c++ for a small language.
dynamic web applications with sinatra,"learn how to build web applications with sinatra, an elegant and approachable web development micro-framework for ruby."
introduction to graduate algorithms,"this is a graduate-level course in the design and analysis of algorithms. we study techniques for the design of algorithms (such as dynamic programming) and algorithms for fundamental problems (such as fast fourier transform or fft).,in addition, we study computational intractability, specifically, the theory of np-completeness. the main topics covered in the course include: dynamic programming; divide and conquer, including fft; randomized algorithms, including rsa cryptosystem and hashing using bloom filters; graph algorithms; max-flow algorithms; linear programming; and np-completeness."
2d game development with libgdx,"this course explores how to use libgdx to build 2d games that run anywhere, from web browsers to mobile devices. we start with simple drawings, and then turn to simple animations, physics, and user input handling. finally, we create a full game, called icicles, where icicles rain down from the top of the screen, and the player must dodge them using the arrow keys or by tilting their phone."
human-computer interaction,"this course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in hci."
firebase analytics: ios,"in this course, you’ll learn how to grow an app's user base using firebase analytics, a free and unlimited analytics solution. you'll be able to learn who your users are and how they interact with your app. you can then use this information to make informed decisions to improve your app, such as how difficult to make a level in a game, where to place an advertisement, or what products to stock.,we'll begin by covering the basics of digital analytics focusing on an app that is live in the app store and google play store as an example. you'll then explore the app's actual usage data using the firebase console. after that, you'll learn how easy it is to add firebase analytics to an app and quickly gain insights. finally, you'll learn how to use firebase crash reporting, firebase remote config, and firebase dynamic links integrated with firebase analytics to improve your app and grow your user base.,by the end of this course you'll have an app that records how users interact with it, and you'll know how use that data to improve performance. you'll have the foundation needed to apply firebase analytics to your own apps."
computer networking,"this course covers advanced topics in computer networking such as software-defined networking (sdn), data center networking and content distribution. the course is divided into three parts:,part 1 is about the implementation, design principles and goals of a computer network and touches upon the various routing algorithms used in cn (such as link-state and distance vector). ,part 2 talks about resource control and content distribution in networking applications. it covers congestion control and traffic shaping.,part 3 deals with the operations and management of computer networks encompassing sdn's (software defined networks), traffic engineering and network security."
cyber-physical systems security,this course provides an introduction to security issues relating to various cyber-physical systems including industrial control systems and those considered critical infrastructure systems.
intro to jquery,"jquery is the most popular javascript library today, in use by over 60% of the top 100,000 most visited websites. this course will teach you how to use jquery’s core features - dom element selections, traversal and manipulation.,you'll also learn how to read and make sense of jquery's documentation, making it easy for you to go beyond the methods taught in this class and take advantage of jquery's full array of features!,this course is also a part of our , nanodegree."
ios persistence and core data,"persisting data is a core skill for any ios developer. this course will teach you three techniques for storing data to your device’s hard drive: nsuserpreferences for small amounts of data, the sandbox for files and core data when you have to play in the big leagues!"
data visualization in tableau,"learn the fundamentals of data visualization and practice communicating with data. this course covers how to apply design principles, human perception, color theory, and effective storytelling with data. if you present data to others, aspire to be a business analyst or data scientist, or if you’d like to become more effective with visualization tools, then you can grow your skills with this course.,this course is part of both the business analyst and data analyst nanodegree programs."
software development process,"in sdp, you will learn how to select and implement the ideal software process for your development project. through professor orso's engaging examples and interviews with industry insiders, you will learn both conceptual and practical aspects of software engineering. the course covers requirements engineering, architecture and design, testing and maintenance, and software quality in general. ,the goal of this class is to equip you with the skills necessary to define requirements, set up an integrated development environment (ide), learn git (and github!) and use unified modeling language (uml) to design and build an android application. we will also examine several testing practices and refactoring techniques that are helpful before the launch of your software project. ,while everyone working with software should have these skills, they are particularly important for software engineers and engineering managers."
writing readmes,"in this course, you’ll learn what documentation is and why it’s an important part of the development process. you'll learn how to build a well-structured readme that you’ll be able to incorporate into your projects moving forward. by the end of this course, you will have written your very own readme file using markdown."
intro to progressive web apps,"in this course you’ll get started working on your very first progressive web app (pwa) - a web app that can take advantage of many of the features native applications have enjoyed. you’ll also get more experience in creating a web app that works offline using service workers. finally, you’ll make your app installable to the user’s home screen with the web app manifest file."
ux design for mobile developers,"this course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/android). ,this is a ux design course built for current (and aspiring) mobile developers. in this short course, you'll step back from your ide and dive into the techniques that great designers use to plan and prototype amazing apps before any code is written."
offline web applications,"this course is focused squarely on user experience, and seeks to show developers how thinking offline-first is the best way to ensure that applications perform their best in all scenarios, not just ideal ones. you'll learn to recognize the differences between good, poor, intermittent, and missing connectivity for your users , and master  how to make applications that navigate these conditions with ease.,using the skills you master in this course, you'll conclude by building an app that that works both online and offline, and loads in new data when it can. you'll be a master of the cache! your web apps will interact with the network just like native apps do. this will lead to better user experiences even in traditionally challenging connection scenarios like being stuck in a train tunnel, having to rely on over-crowded conference wi-fi, or traveling through a cellular ""dead zone!"""
kotlin for android developers,"in this course, aaron sarazan, lead software engineer at capital one and a leading advocate for kotlin, demonstrates how to take a basic android app in java and convert it to kotlin, teaching you key features of the kotlin programming language along the way. this is an efficient, fast-paced introduction to kotlin for experienced java programmers."
developing android apps with kotlin,"learn to architect and develop android apps in the kotlin programming language using industry-proven tools and libraries. with these techniques you'll create apps in less time, writing less code, and with fewer errors.,this course was developed by google together with udacity. the course gives you hands on experience as you build real android apps using industry best practices, with modern app architecture. you'll learn to use android jetpack components such as room for databases, work manager for background processing, the new navigation component, and more. you'll use key kotlin features to write your app code more quickly and concisely."
software analysis & testing,"this course covers the theory and practice of software analysis, which lies at the heart of many software development processes such as diagnosing bugs, testing, debugging, and more. it presents diverse techniques, each with their own strengths and limitations, for automating tasks such as testing, debugging, and finding bugs in complex real-world programs. these techniques include dataflow analysis, constraint-based analysis, type systems, model checking, symbolic execution, and more. the course teaches the principles underlying these techniques as well as imparts hands-on experience with using and implementing tools based on these techniques."
scalable microservices with kubernetes,"this course is designed to teach you about managing application containers, using kubernetes. we've built this course in partnership with experts such as kelsey hightower and carter morgan from google and netflix’s former cloud architect, adrian cockcroft (current technology fellow at battery ventures), who provide critical learning throughout the course. ,mastering highly resilient and scalable infrastructure management is very important, because the modern expectation is that your favorite sites will be up 24/7, and that they will roll out new features frequently and without disruption of the service. achieving this requires tools that allow you to ensure speed of development, infrastructure stability and ability to scale. students with backgrounds in operations or development who are interested in managing container based infrastructure with kubernetes are recommended to enroll!,in this course you will learn to:"
learn swift programming syntax,"swift is a language created by apple specifically for ios and os x development. it’s fast, concise, and comes with tools  which make it easier than ever to visualize one's code. ,this course focuses on the syntax of the swift programming language. by the end of the course, students should be able to apply swift essentials to building ios apps and employ swift's more unique elements, like optional types and switch statements, with confidence."
web accessibility,"in this course you’ll get hands-on experience making web applications accessible. you’ll understand when and why users need accessibility. then you’ll dive into the ""how"": making a page work properly with screen readers, and managing input focus (e.g. the highlight you see when tabbing through a form.) you’ll understand what ""semantics"" and ""semantic markup"" mean for web pages and add aria markup to enable navigating the interface with a range of assistive devices. finally, you’ll learn styling techniques that help users with partial vision navigate your pages easily and reliably.,this course is also featured in our , program."
android basics: data storage,"in this course, you will learn about the importance of data persistence when building an android app. we'll introduce you to the fundamentals of sql, the programming language needed to interact with an sqlite relational database. sqlite is a commonly used method to store large sets of data locally on an android device. ,you'll also learn how to work with content providers, which help your data storage to be bug free and to be shared, if you choose, with other apps.,if you’re curious about the road even farther ahead, these are the free courses that make up the android basics nanodegree, in order: "
browser rendering optimization," to users. web developers need to build apps that react quickly and render smoothly.,google performance guru paul lewis is here to help you destroy , and create web apps that maintain 60 frames per second performance.,you'll leave this course with the tools you need to profile apps and identify the causes of jank. you'll explore the browser's rendering pipeline and uncover patterns that make it easy to build performant apps."
android basics: networking,"this course is a part of the ,.,android apps are everywhere and learning to build them can be a fantastic career move. continue on your android app development education and learn to build multi-screen apps!,this course is designed for students who have completed the , and the ,. you don’t need any programming experience besides that course!,learning anything new can be tough. we will walk you through the process of making android apps, but to get the most out of this course, bring your enthusiasm for learning, and budget time on your calendar to learn with us. it will be an adventure!,by the end of the course, you’ll build an app that gets you up to date earthquake information!,if you’re curious about the road even farther ahead, these are the free courses that make up the android basics nanodegree, in order: "
introduction to operating systems,"introduction to operating systems is a graduate-level introductory course in operating systems. this course teaches the basic operating system abstractions, mechanisms, and their implementations. the core of the course contains concurrent programming (threads and synchronization), inter process communication, and an introduction to distributed operating systems. the course is split into four sections: (1) introduction, (2) process and thread management, (3) resource management and communication, and (4) distributed systems."
authentication & authorization: oauth,"as a python programmer, leveraging flask allows you to quickly and easily build your own web applications. but before you share your apps on the internet you should protect your users' data, ensuring information stored on your site is safe from unwanted manipulation. you could implement web security and permissions on your own, but relying on trusted providers is a faster, safer, and easier way to allow users to login to your application - without having to create and maintain another account, profile, and password. ,in this course, you will learn to implement the oauth 2.0 framework to allow users to securely login to your web applications. you'll be provided a  , created in flask. by the end of this course, you will write the necessary code to implement google+ sign-in and facebook login in options so users can create restaurant menus that are viewable by everyone but only modifiable by the original creator."
advanced android app development,"ready to level-up your skills as an android developer? in this course, you will learn how to make your app production-ready by developing a variety of different sample apps, each designed to showcase advanced capabilities of the android platform, including fragments, widgets, media playback, and testing. you’ll learn how to create ui tests using the espresso framework, to leverage third-party libraries and services like exoplayer and firebase cloud messaging, and use google apis to make your app aware of its location. by the end of the course, you’ll know how to publish your own app to the google play store, where you can reach and engage users across the globe."
building high conversion web forms,"any meaningful experience on the web has a form. whether it's a form made of text boxes, toggles, buttons, checkboxes, or touchable widgets, web developers need to be purposeful about forms to make users happy and increase ,.,in this course, you'll learn best practices for modern forms as taught by google's ido green and udacity's cameron pittman. you'll practice your skills along the way with a few self-directed projects, including an e-commerce checkout and an event planner app!,as a special treat, you'll also watch a series of interviews with luke wroblewski, google product director and author of ,, to get his take on interactions for the modern web."
intro to ios app development with swift,"in this course we will build an iphone app that records a conversation between you and a friend, and then makes your voices sound like a chipmunk or darth vader.,this course will introduce you to ios app development in swift, a new programming language from apple, and serves as your launching point into the ,."
software architecture & design,"software architecture and design teaches the principles and concepts involved in the analysis and design of large software systems. this course is split into four sections: (1) introduction, (2) uml and analysis, (3) software architecture, and (4) software design."
what is programming?,"the world of development can be daunting with all of its lingo and jargon. this course will help demystify the cryptic terms that developers use on a daily basis. you'll learn about how the web functions, what a programmer does each day, why version control is so important, and how communication on the internet happens. "
client-server communication,"we use websites all the time, but how does clicking a link in your browser or typing in a url in the address bar get you to a website? how does the server know what information you're looking for or how to send you that information once it's figured that out? how can you protect your users from attackers? dig into this course and you'll be able to answer these questions!,this course will guide you through how a client communicates with a server. you'll learn about http's request and response cycle, dig into http headers and verbs, distinguish http/1 from http/2 capabilities, all while experiencing the importance of security by digging into the details of https. throughout the course, you'll learn both security best practices, as well as ways to improve the performance of your web apps. we'll provide you with handcrafted servers where you'll diagnose problematic server setups, issues with ssl certificates, and even have a chance to hack an example bank website to transfer funds."
uikit fundamentals,"in this course, you will build a series of simple apps to become more comfortable with the uikit framework and master its most widely used components. this framework constitutes the building blocks of the user interface for all ios apps, and is crucial for any ios developer to be intimately familiar with."
android basics: user interface, learn how to design your first layout in android! this is the first course in the android basics nanodegree program. 
javascript promises,"learn how to handle asynchronous work with ease! in this course, you'll use native javascript promises to write asynchronous code that is easy to read, easy to write and easy to debug.,along the way, you'll be using promises to make a webapp come to life!"
responsive images,"did you know that images account for more than , of the bytes on average needed to load a web page?,in this course you will learn how to work with images on the modern web, so that your images look great and load quickly on any device.,along the way, you will pick up a range of skills and techniques to smoothly integrate responsive images into your development workflow. by the end of the course, you will be developing with images that adapt and respond to different viewport sizes and usage scenarios."
android performance,"if you’ve ever hit performance issues that affect your app’s usability, this course will teach you how to identify and diagnose your performance problems. by the end of this course, you’ll be able to perform exploratory tests, run profiling tools, use outputs to navigate to problematic code, and design a plan of attack to mitigate poor performance. you’ll also gain a higher level of understanding about how program code and the android platform interact, which will help you optimize for performance in the future."
build native mobile apps with flutter, learn from experts at google how to use flutter to craft high-quality native interfaces on ios and android devices in record time. 
xcode debugging,"""if debugging is the process of removing bugs, then programming must be the process of putting them in."", ,debugging is yin to programming's yang; you can't have one without the other. however, finding bugs in programs can be an incredibly frustrating and demotivating process for developers. this course will teach you a variety of techniques to help make debugging your code easier."
android basics: user input,"learn the basics of android and java programming, and take the first step on your journey to becoming an android developer!,this course is designed for students who are new to programming, and want to learn how to build android apps. you don’t need any programming experience to take this course. if you’ve been using a smartphone to surf the web and chat with friends, then you’re our perfect target student!,learning anything new can be tough. we will walk you through the process of making android apps, but to get the most out of this course, you must bring your enthusiasm for learning, and budget time on your calendar to learn with us.,by the end of this course, you will have learned how to make your app interactive using buttons and changing text. you will have practiced those skills by making a basketball scores app, and you will have built a full coffee-ordering app.,if you’re curious about the road even farther ahead, these are the free courses that make up the android basics nanodegree, in order: "
ios networking with swift,"in this course, you’ll learn how to incorporate networking into your apps, so they can access data from around the world. you’ll learn how to harness the power of apis to display images and retrieve movie data. at the end of the course, you’ll build the ""on the map"" app which allows you to share interesting links, projects, or other information with fellow udacity students."
javascript design patterns,"this course covers methods for organizing your code, both conceptually and literally. you’ll learn the importance of separating concerns when writing javascript, gaining hands-on experience along the way. separating concerns can be done with or without an organizational library or framework. we’ll learn how to separate concerns without one, and then we’ll explore an organizational library together. you’ll also learn strategies for exploring other libraries and frameworks on your own.,by the end of this course, you’ll understand (from experience) the importance of code organization, and how to implement it with either vanilla javascript or an organizational library or framework. your applications will start looking clean and professional—not just to your users, but also to anyone who looks at the code driving your applications."
website performance optimization,"you will learn how to optimize any website for speed by diving into the details of how mobile and desktop browsers render pages.,in this short course, you’ll learn about the critical rendering path, or the set of steps browsers must take to convert html, css and javascript into living, breathing websites. from there, you’ll start exploring and experimenting with tools to measure performance and simple strategies to deliver the first pixels to the screen as early as possible. you’ll learn how to dive into recommendations from , and the timeline view of google chrome’s developer tools to find the data you need to achieve immediate performance boosts!,this course is also a part of our , nanodegree."
gradle for android and java,"this course explores how the gradle build tool compiles and packages apps, and you'll learn to customize the build process. the first half of this course is for anyone interested in gradle, build automation, and continuous delivery of software.,the latter half of the course reveals the magic that happens after you hit the ""run"" button in android studio. you'll also explore advanced android topics, learning to configure free vs paid app flavors, create and integrate android libraries, test your app, and prepare your app for the play store."
how to install android studio,"this is a short tutorial that walks you through installing android studio on a windows or mac machine, beginning with downloading the java sdk. you will also learn how to set up a new project using the android studio project wizard."
linux command line basics,"we have built this course for beginners who have no experience with the linux system and the command-line interface.,in this course, you'll learn the basics of the command line interface of a linux server: the terminal and shell (gnu bash). this course includes an introduction to files and directories in the linux filesystem."
