difficulty,duration,n_reviews,rating,free
2.0,2.156885438468934,0.9678714859437755,0.9407897963216975,0
1.0,0.7891277806681579,0.9839357429718875,0.9704865792621539,0
1.0,0.7891277806681579,0.9357429718875501,0.97342140567782,0
2.0,1.4730066095685461,0.9919678714859437,0.9627763693959981,0
2.0,1.4730066095685461,0.9156626506024085,0.9385287605168702,0
1.0,1.4730066095685461,0.9959839357429726,0.9671547402699009,0
2.0,1.4730066095685461,0.9397590361445783,0.9377408363264427,0
0.0,0.10524895176776983,0.9437751004016064,0.9648981211791905,0
1.0,0.7891277806681579,0.9759036144578312,0.9814024772161795,0
2.0,0.7891277806681579,0.9477911646586356,0.9454181374348878,0
2.0,1.4730066095685461,0.9879518072289156,0.9531941918930699,0
2.0,-1.0915389988079094,0.0,0.0,1
1.0,0.7891277806681579,0.9558232931726907,0.9809806918581686,0
2.0,-1.0915389988079094,0.0,0.0,1
0.0,2.8407642673693223,0.9799196787148594,0.9817017050134716,0
2.0,1.4730066095685461,0.9076305220883534,0.9444116457743629,0
1.0,0.10524895176776983,0.0,0.0,1
1.0,0.10524895176776983,0.895582329317269,0.8904523068015096,0
1.0,-1.177023852420458,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,1.4730066095685461,0.9598393574297188,0.9618773530832013,0
2.0,0.4471883662179639,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
1.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
1.0,-1.0915389988079094,0.0,0.0,1
1.0,-1.0915389988079094,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
1.0,-1.0915389988079094,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
0.0,0.10524895176776983,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
0.0,-0.0657207554573272,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-0.0657207554573272,0.0,0.0,1
0.0,0.10524895176776983,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
1.0,0.10524895176776983,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
0.0,0.10524895176776983,0.0,0.0,1
1.0,-0.5786298771326183,0.0,0.0,1
0.0,1.4730066095685461,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
1.0,0.10524895176776983,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
1.0,-1.2454117353104968,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
1.0,-0.9205692915828123,0.0,0.0,1
1.0,-0.9205692915828123,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
1.0,-0.23669046268242422,0.0,0.0,1
1.0,-0.5786298771326183,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
1.0,-0.7495995843577153,0.0,0.0,1
1.0,1.4730066095685461,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
0.0,0.7891277806681579,0.0,0.0,1
0.0,-0.7495995843577153,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
0.0,0.10524895176776983,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
1.0,-0.5786298771326183,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
1.0,-0.5786298771326183,0.0,0.0,1
1.0,-0.23669046268242422,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
0.0,-0.40766016990752124,0.0,0.0,1
0.0,-1.0915389988079094,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
0.0,1.4730066095685461,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
1.0,-0.5786298771326183,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
2.0,-0.5786298771326183,0.0,0.0,1
1.0,0.10524895176776983,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,1.4730066095685461,0.0,0.0,1
1.0,-0.9205692915828123,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
0.0,-0.5786298771326183,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
2.0,-0.9205692915828123,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
2.0,-1.0915389988079094,0.0,0.0,1
0.0,0.10524895176776983,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
1.0,-0.6641147307451668,0.0,0.0,1
1.0,-1.177023852420458,0.0,0.0,1
2.0,-0.7495995843577153,0.0,0.0,1
2.0,0.10524895176776983,0.0,0.0,1
